,Venue ID,Venue Name,Venue Rating,Venue Rating Signals,Venue Price Tier,Venue Price Message
0,4a91e4f7f964a520421c20e3,Pho Pasteur,7.8,432,1,Cheap
1,4a79dae9f964a520cde71fe3,My Thai Vegan Cafe,7.6,206,2,Moderate
2,49c90f9bf964a5202d581fe3,Al's South Street Cafe,7.6,135,1,Cheap
3,4c7c06403badb1f7ea9f5654,Dumpling Cafe,7.6,341,1,Cheap
4,4aaacac0f964a5206e5720e3,New Saigon Sandwich,7.4,34,2,Moderate
5,4c91546ab641236ab6a68079,Q Restaurant,8.2,281,2,Moderate
6,4c29032ace3fc928e6156e88,SUBWAY,6.4,5,1,Cheap
7,4e4be732e4cde30b72898e6d,Irashai Sushi Teriyaki,7.4,103,1,Cheap
8,4ab90e73f964a520dd7d20e3,Mei Sum Bakery,7.6,19,1,Cheap
9,59a5e22265cdf802902711fd,Boston Pocket Deli,8.4,38,1,Cheap
10,4b5e322ff964a520198329e3,Papa Gino's,6.7,3,2,Moderate
11,3fd66200f964a5202fec1ee3,Joe's American Bar & Grill,7.9,548,2,Moderate
12,4bd471196798ef3b1c96618d,River Grille Restaurant & Cafe,7.2,9,1,Cheap
13,4d4ea978a8fba143fd6b461a,Dunkin',7.3,20,1,Cheap
14,4aee268ff964a52086d221e3,Boston Kitchen Pizza,7.2,81,1,Cheap
15,3fd66200f964a52058ec1ee3,Stephanie's On Newbury,7.6,581,3,Expensive
16,4c1d27a663750f4731c7b767,SUBWAY,6.5,5,1,Cheap
17,4a5a9d17f964a520a6ba1fe3,Bova's Bakery,8.6,318,2,Moderate
18,53c069b8498e1f34dc3a75a9,Bishop's Mediterranean,7.4,18,2,Moderate
19,4b11cf55f964a520278523e3,Giacomo's,8.4,312,2,Moderate
20,5c2f8ffcb25fee002b84e590,Tatte Bakery & Cafe,9.1,67,1,Cheap
21,4a5a8f01f964a52090ba1fe3,Panza,8.1,181,2,Moderate
22,547fb698498ee27c6140764c,Monica's Mercato,7.7,41,1,Cheap
23,40b28c80f964a520d4f71ee3,Florentine Cafe,7.7,104,3,Expensive
24,4ace9d7ff964a52072d120e3,Cantina Italiana,8.1,127,2,Moderate
25,527bcd2b11d2760259508044,Dirty Water Dough Company,7.6,111,1,Cheap
26,4a777beff964a520a6e41fe3,Viva Burrito,7.4,78,1,Cheap
27,4885ecf8f964a52040511fe3,Caffe Dello Sport,8.4,54,1,Cheap
28,522d039611d2b014b87950cf,Locale,8.9,86,2,Moderate
29,4ab8fd1ff964a5208c7d20e3,Hong Kong Eatery,7.5,85,1,Cheap
30,4b60d993f964a5208dfd29e3,Strega Ristorante,8.4,114,3,Expensive
31,57d0a299498eb9d6942d3ff5,Florina,8.8,14,1,Cheap
32,4a42d407f964a52046a61fe3,O Ya,8.5,182,4,Very Expensive
33,4afc827ef964a520702322e3,Parziale's Bakery,8.0,19,1,Cheap
34,523cde88498edcd74cf448bd,Bangkok Bistro,5.7,26,2,Moderate
35,4aa2e6e4f964a520924220e3,La Famiglia Giorgio's,8.1,199,3,Expensive
36,4b466becf964a520612026e3,The Daily Catch,8.5,205,2,Moderate
