Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue City,Venue Address,Venue Latitude,Venue Longitude,Venue Distance,Venue Category,Category Group
Chinatown,42.3513291,-71.0626228,Pho Pasteur,4a91e4f7f964a520421c20e3,Boston,682 Washington St,42.35151253687529,-71.06281061154236,25,Noodle House,Asian Restaurant
Chinatown,42.3513291,-71.0626228,My Thai Vegan Cafe,4a79dae9f964a520cde71fe3,Boston,3 Beach St,42.35157070124249,-71.0627170747986,27,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurant
Chinatown,42.3513291,-71.0626228,Spicy World,56bfa4e3cd104c42290fae47,Boston,,42.3515128182698,-71.06238226654429,28,Hotpot Restaurant,Asian Restaurant
Leather District,42.3523222,-71.05734307739965,Al's South Street Cafe,49c90f9bf964a5202d581fe3,Boston,179 Essex St,42.352112913865305,-71.05713911819366,28,Sandwich Place,Sandwich Place
Chinatown,42.3513291,-71.0626228,Dumpling Cafe,4c7c06403badb1f7ea9f5654,Boston,695 Washington St,42.35125985286757,-71.06299365970656,31,Chinese Restaurant,Asian Restaurant
Chinatown,42.3513291,-71.0626228,New Saigon Sandwich,4aaacac0f964a5206e5720e3,Boston,696 Washington St,42.35104761115418,-71.06295843301461,41,Asian Restaurant,Asian Restaurant
Chinatown,42.3513291,-71.0626228,Q Restaurant,4c91546ab641236ab6a68079,Boston,660 Washington St,42.35170662953259,-71.06271524779602,42,Hotpot Restaurant,Asian Restaurant
Hyde Park,42.2556543,-71.1244963,SUBWAY,4c29032ace3fc928e6156e88,Hyde Park,1281 Hyde Park Ave,42.25526927373145,-71.12448219492376,42,Sandwich Place,Sandwich Place
Chinatown,42.3513291,-71.0626228,Irashai Sushi Teriyaki,4e4be732e4cde30b72898e6d,Boston,8 Kneeland St,42.35092904855417,-71.06259700049733,44,Sushi Restaurant,Asian Restaurant
Chinatown,42.3513291,-71.0626228,Mei Sum Bakery,4ab90e73f964a520dd7d20e3,Boston,36 Beach St,42.35147184990449,-71.06211536202655,44,Bakery,Bakery
South End,42.34131,-71.0772298,Boston Pocket Deli,59a5e22265cdf802902711fd,Boston,682 Tremont St,42.34109,-71.07675,46,Deli / Bodega,Deli / Bodega
Hyde Park,42.2556543,-71.1244963,Papa Gino's,4b5e322ff964a520198329e3,Hyde Park,1270 River St,42.25565742804683,-71.1239030166098,48,Pizza Place,Pizza Place
Back Bay,42.35054885,-71.08031131584724,Joe's American Bar & Grill,3fd66200f964a5202fec1ee3,Boston,181 Newbury St,42.350367760408666,-71.07974138649868,51,American Restaurant,American Restaurant
Hyde Park,42.2556543,-71.1244963,River Grille Restaurant & Cafe,4bd471196798ef3b1c96618d,Hyde Park,1263 River St,42.255947704833,-71.12398012203828,53,American Restaurant,American Restaurant
East Boston,42.3750973,-71.0392173,Dunkin',4d4ea978a8fba143fd6b461a,East Boston,34 Central Sq #34,42.37546036203063,-71.03873342027424,56,Donut Shop,Donut Shop
Chinatown,42.3513291,-71.0626228,Boston Kitchen Pizza,4aee268ff964a52086d221e3,Boston,1 Stuart St,42.35090194801581,-71.0630241266923,57,Pizza Place,Pizza Place
